RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,CCY1,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMBRM-01Y,15-Feb-2012,01:17:37,15-Feb-2012,09:17:37,99.2764,99.2764,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,16-Feb-2012,01:13:47,16-Feb-2012,09:13:47,99.2781,99.2781,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,16-Feb-2012,08:52:55,16-Feb-2012,16:52:55,99.2781,99.2781,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,17-Feb-2012,01:37:45,17-Feb-2012,09:37:45,99.2508,99.2508,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.43,3.53
AMBMBRM-01Y,17-Feb-2012,08:03:24,17-Feb-2012,16:03:24,99.2508,99.2508,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.43,3.53
AMBMBRM-01Y,17-Feb-2012,08:16:44,17-Feb-2012,16:16:44,99.2508,99.2508,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.43,3.53
AMBMBRM-01Y,20-Feb-2012,09:18:55,20-Feb-2012,17:18:55,99.2508,99.2508,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.43,3.53
AMBMBRM-01Y,21-Feb-2012,02:23:54,21-Feb-2012,10:23:54,99.287,99.287,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,21-Feb-2012,09:14:24,21-Feb-2012,17:14:24,99.287,99.287,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.51
AMBMBRM-01Y,21-Feb-2012,09:14:25,21-Feb-2012,17:14:25,99.287,99.287,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.51
AMBMBRM-01Y,21-Feb-2012,09:14:27,21-Feb-2012,17:14:27,99.287,99.287,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,21-Feb-2012,09:14:28,21-Feb-2012,17:14:28,99.287,99.287,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,21-Feb-2012,09:14:29,21-Feb-2012,17:14:29,99.2762,99.2762,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,22-Feb-2012,07:55:16,22-Feb-2012,15:55:16,99.2762,99.2762,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,22-Feb-2012,09:41:55,22-Feb-2012,17:41:55,99.278,99.278,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,22-Feb-2012,09:41:56,22-Feb-2012,17:41:56,99.278,99.278,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,23-Feb-2012,06:32:46,23-Feb-2012,14:32:46,99.2798,99.2798,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,23-Feb-2012,08:22:12,23-Feb-2012,16:22:12,99.2798,99.2798,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,24-Feb-2012,00:00:31,24-Feb-2012,08:00:31,99.2959,99.2959,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,24-Feb-2012,01:49:54,24-Feb-2012,09:49:54,99.2959,99.2959,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,24-Feb-2012,01:50:15,24-Feb-2012,09:50:15,99.2959,99.2959,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,24-Feb-2012,07:47:40,24-Feb-2012,15:47:40,99.2959,99.2959,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
