RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMGRM-01Y,23-Dec-2013,07:09:58,23-Dec-2013,15:09:58,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,09:05:49,23-Dec-2013,17:05:49,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.56
AMBMGRM-01Y,23-Dec-2013,09:05:50,23-Dec-2013,17:05:50,99.051,99.02,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.56
AMBMGRM-01Y,23-Dec-2013,09:05:51,23-Dec-2013,17:05:51,99.059,99.02,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.46,5.56
AMBMGRM-01Y,23-Dec-2013,09:06:03,23-Dec-2013,17:06:03,99.059,99.02,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.46,5.56
AMBMGRM-01Y,24-Dec-2013,03:00:01,24-Dec-2013,11:00:01,99.065,99.03,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.46,5.56
AMBMGRM-01Y,24-Dec-2013,03:48:21,24-Dec-2013,11:48:21,99.065,99.03,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.46,5.56
AMBMGRM-01Y,24-Dec-2013,09:21:08,24-Dec-2013,17:21:08,99.065,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.33,5.43
AMBMGRM-01Y,24-Dec-2013,09:21:09,24-Dec-2013,17:21:09,99.117,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.33,5.43
AMBMGRM-01Y,25-Dec-2013,03:00:01,25-Dec-2013,11:00:01,99.122,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.33,5.43
AMBMGRM-01Y,25-Dec-2013,09:22:47,25-Dec-2013,17:22:47,99.122,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.33,5.44
AMBMGRM-01Y,25-Dec-2013,09:22:48,25-Dec-2013,17:22:48,99.122,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.34,5.44
AMBMGRM-01Y,25-Dec-2013,09:22:49,25-Dec-2013,17:22:49,99.118,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.34,5.44
AMBMGRM-01Y,26-Dec-2013,03:00:01,26-Dec-2013,11:00:01,99.124,99.09,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.34,5.44
AMBMGRM-01Y,26-Dec-2013,08:54:09,26-Dec-2013,16:54:09,99.124,99.09,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.34,5.45
AMBMGRM-01Y,26-Dec-2013,08:54:10,26-Dec-2013,16:54:10,99.124,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,26-Dec-2013,08:54:11,26-Dec-2013,16:54:11,99.12,99.08,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,27-Dec-2013,03:00:01,27-Dec-2013,11:00:01,99.138,99.1,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,30-Dec-2013,03:00:01,30-Dec-2013,11:00:01,99.143,99.11,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,31-Dec-2013,03:00:01,31-Dec-2013,11:00:01,99.155,99.12,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,31-Dec-2013,09:18:37,31-Dec-2013,17:18:37,99.155,99.12,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,02-Jan-2014,03:00:01,02-Jan-2014,11:00:01,99.161,99.12,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,03-Jan-2014,03:00:00,03-Jan-2014,11:00:00,99.178,99.14,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,03-Jan-2014,09:01:14,03-Jan-2014,17:01:14,99.178,99.14,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.47
AMBMGRM-01Y,03-Jan-2014,09:01:15,03-Jan-2014,17:01:15,99.178,99.13,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.47
AMBMGRM-01Y,03-Jan-2014,09:01:16,03-Jan-2014,17:01:16,99.178,99.13,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.47
AMBMGRM-01Y,03-Jan-2014,09:01:17,03-Jan-2014,17:01:17,99.171,99.13,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.47
AMBMGRM-01Y,06-Jan-2014,03:00:01,06-Jan-2014,11:00:01,99.177,99.14,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.47
AMBMGRM-01Y,07-Jan-2014,03:00:01,07-Jan-2014,11:00:01,99.183,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.47
AMBMGRM-01Y,07-Jan-2014,09:17:56,07-Jan-2014,17:17:56,99.183,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.45
AMBMGRM-01Y,07-Jan-2014,09:17:57,07-Jan-2014,17:17:57,99.183,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.37,5.45
AMBMGRM-01Y,07-Jan-2014,09:17:59,07-Jan-2014,17:17:59,99.183,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,07-Jan-2014,09:18:00,07-Jan-2014,17:18:00,99.19,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,02:04:21,08-Jan-2014,10:04:21,99.19,99.15,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,03:00:01,08-Jan-2014,11:00:01,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,06:10:01,08-Jan-2014,14:10:01,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,06:10:06,08-Jan-2014,14:10:06,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,06:20:21,08-Jan-2014,14:20:21,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,06:20:22,08-Jan-2014,14:20:22,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.45
AMBMGRM-01Y,08-Jan-2014,09:11:49,08-Jan-2014,17:11:49,99.196,99.16,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.35,5.4
AMBMGRM-01Y,08-Jan-2014,09:11:50,08-Jan-2014,17:11:50,99.196,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,08-Jan-2014,09:11:51,08-Jan-2014,17:11:51,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,01:54:15,09-Jan-2014,09:54:15,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,01:56:41,09-Jan-2014,09:56:41,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:07:19,09-Jan-2014,10:07:19,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:27:41,09-Jan-2014,10:27:41,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:44:15,09-Jan-2014,10:44:15,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:47:26,09-Jan-2014,10:47:26,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:50:50,09-Jan-2014,10:50:50,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:54:09,09-Jan-2014,10:54:09,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,02:57:51,09-Jan-2014,10:57:51,99.214,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,03:00:01,09-Jan-2014,11:00:01,99.219,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,03:03:56,09-Jan-2014,11:03:56,99.219,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,03:14:35,09-Jan-2014,11:14:35,99.219,99.18,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.3,5.4
AMBMGRM-01Y,09-Jan-2014,09:25:29,09-Jan-2014,17:25:29,99.219,99.24,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.15,5.25
AMBMGRM-01Y,09-Jan-2014,09:25:30,09-Jan-2014,17:25:30,99.272,99.24,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.15,5.25
AMBMGRM-01Y,10-Jan-2014,03:00:01,10-Jan-2014,11:00:01,99.288,99.25,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.15,5.25
AMBMGRM-01Y,10-Jan-2014,08:29:08,10-Jan-2014,16:29:08,99.288,99.25,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.15,5.15
AMBMGRM-01Y,10-Jan-2014,08:29:09,10-Jan-2014,16:29:09,99.288,99.29,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.05,5.15
AMBMGRM-01Y,10-Jan-2014,08:29:10,10-Jan-2014,16:29:10,99.323,99.29,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.05,5.15
