RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCPSRMB02YA5Q03L,13-Jan-2013,23:31:13,14-Jan-2013,07:31:13,0.79,0.39
AMCPSRMB02YA5Q03L,14-Jan-2013,20:29:53,15-Jan-2013,04:29:53,0.79,0.39
AMCPSRMB02YA5Q03L,17-Jan-2013,11:32:53,17-Jan-2013,19:32:53,0.79,0.39
AMCPSRMB02YA5Q03L,17-Jan-2013,18:01:14,18-Jan-2013,02:01:14,0.79,0.39
AMCPSRMB02YA5Q03L,18-Jan-2013,00:54:08,18-Jan-2013,08:54:08,0.79,0.39
AMCPSRMB02YA5Q03L,18-Jan-2013,08:35:36,18-Jan-2013,16:35:36,0.79,0.39
AMCPSRMB02YA5Q03L,20-Jan-2013,23:54:22,21-Jan-2013,07:54:22,0.79,0.39
AMCPSRMB02YA5Q03L,22-Jan-2013,18:07:53,23-Jan-2013,02:07:53,0.79,0.39
AMCPSRMB02YA5Q03L,23-Jan-2013,15:16:39,23-Jan-2013,23:16:39,0.79,0.39
AMCPSRMB02YA5Q03L,24-Jan-2013,12:26:44,24-Jan-2013,20:26:44,0.79,0.39
AMCPSRMB02YA5Q03L,24-Jan-2013,23:44:43,25-Jan-2013,07:44:43,0.79,0.39
AMCPSRMB02YA5Q03L,24-Jan-2013,23:59:39,25-Jan-2013,07:59:39,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,00:04:44,25-Jan-2013,08:04:44,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,00:14:33,25-Jan-2013,08:14:33,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,00:15:45,25-Jan-2013,08:15:45,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,00:20:35,25-Jan-2013,08:20:35,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,00:59:44,25-Jan-2013,08:59:44,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,01:11:35,25-Jan-2013,09:11:35,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,02:19:56,25-Jan-2013,10:19:56,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,02:20:54,25-Jan-2013,10:20:54,0.79,0.39
